,Title,Author,Reviewer,Review Date,Date and Time
126,Frantic 7,John Radzilowski and Jerzy SzczeÅniak,C. Peter Chen,2 Oct 2020,2020-10-02 0:00:00
127,"Freedom from Fear: The American People in Depression and War, 1929-1945",David Kennedy,C. Peter Chen,24 Sep 2014,2014-09-24 0:00:00
128,Frozen in Time,Mitchell Zuckoff,C. Peter Chen,17 Dec 2013,2013-12-17 0:00:00
129,FUBAR: Soldier Slang of World War II,Gordon L. Rottman,C. Peter Chen,15 Dec 2009,2009-12-15 0:00:00
130,German Infantry in WWII (Order of Battle),Chris Bishop,C. Peter Chen,30 Jun 2008,2008-06-30 0:00:00
131,German Infantryman vs Soviet Rifleman: Barbarossa 1941,David Campbell,Andrew Nguyen,25 Nov 2015,2015-11-25 0:00:00
132,German Panzers in WWII (Order of Battle),Chris Bishop,C. Peter Chen,22 Jan 2008,2008-01-22 0:00:00
133,German V-Weapon Sites 1943-45,Steven Zaloga,C. Peter Chen,28 Jan 2008,2008-01-28 0:00:00
134,Ghost Soldiers,Hampton Sides,C. Peter Chen,3 Nov 2010,2010-11-03 0:00:00
135,GI Brides: The Wartime Girls Who Crossed the Atlantic for Love,Duncan Barrett and Nuala Calvi,C. Peter Chen,26 Oct 2016,2016-10-26 0:00:00
136,GI Joe,David Breger,Bryan Hiatt,23 May 2006,2006-05-23 0:00:00
137,"God, Honor, Fatherland",Thomas McGuirl and Remy Spezzano,Thomas Houlihan,22 Mar 2007,2007-03-22 0:00:00
138,"Goodbye, Darkness: A Memoir of the Pacific War",William Manchester,C. Peter Chen,11 Apr 2006,2006-04-11 0:00:00
139,"Goodbye, Darkness: A Memoir of the Pacific War",William Manchester,Jimmy Lebel,30 Jul 2010,2010-07-30 0:00:00
140,Graf & Grislawski: A Pair of Aces,Christer Bergstrom,Dan K.,8 Aug 2009,2009-08-08 0:00:00
141,Griffon Spitfire Aces,Andrew Thomas,C. Peter Chen,16 Apr 2008,2008-04-16 0:00:00
142,Guadalcanal: The U. S. Marines in World War II,Eric Hammel,C. Peter Chen,13 Aug 2007,2007-08-13 0:00:00
143,Hanns and Rudolf,Thomas Harding,C. Peter Chen,30 Dec 2015,2015-12-30 0:00:00
144,Hawker Hurricane Mk I-V,Martyn Chorlton,C. Peter Chen,10 Mar 2013,2013-03-10 0:00:00
145,He 111 Kampfgeschwader on the Russian Front,John Weal,C. Peter Chen,11 May 2015,2015-05-11 0:00:00
146,Hell Above Earth,Stephen Frater,C. Peter Chen,21 Jul 2012,2012-07-21 0:00:00
147,Hell Hawks!,Robert F. Dorr and Thomas D. Jones,C. Peter Chen,22 Sep 2008,2008-09-22 0:00:00
148,Hell in the Pacific: A Marine Rifleman's Journey From Guadalcanal to Peleliu,Jim McEnery with Bill Sloan,C. Peter Chen,16 Jun 2012,2012-06-16 0:00:00
149,Hell's Highway,George Koskimaki,Bryan Hiatt,5 Aug 2005,2005-08-05 0:00:00
150,Helmet for My Pillow,Robert Leckie,C. Peter Chen,24 Apr 2010,2010-04-24 0:00:00
151,Helmet for My Pillow,Robert Leckie,Jimmy Lebel,1 Sep 2010,2010-09-01 0:00:00
152,Hemingway's France: Images of the Lost Generation,Winston S. Conrad,C. Peter Chen,19 Jun 2012,2012-06-19 0:00:00
153,Hero of the Pacific: The Life of Legendary Marine John Basilone,James Brady,C. Peter Chen,7 Jan 2015,2015-01-07 0:00:00
154,Heroes or Traitors,"Walter S. Dunn, Jr.",Thomas Houlihan,26 Mar 2007,2007-03-26 0:00:00
155,Hidden Figures,Margot Lee Shetterly,C. Peter Chen,23 Feb 2018,2018-02-23 0:00:00
156,Hitler Youth: Growing Up in Hitler's Shadow,Susan Campbell Bartoletti,C. Peter Chen,4 Mar 2015,2015-03-04 0:00:00
157,Hitler's Arctic War,Chris Mann and Christer Jorgensen,Thomas Houlihan,22 Jul 2003,2003-07-22 0:00:00
158,Hitler's Army,David Stone,C. Peter Chen,13 Dec 2009,2009-12-13 0:00:00
159,Hitler's Furies: German Women in the Nazi Killing Fields,Wendy Lower,C. Peter Chen,2 Dec 2015,2015-12-02 0:00:00
160,Hitler's Holy Relics,Sidney Kirkpatrick,C. Peter Chen,5 Sep 2011,2011-09-05 0:00:00
161,Hitler's Last Witness: The Memoirs of Hitler's Bodyguard,Rochus Misch,C. Peter Chen,1 Apr 2015,2015-04-01 0:00:00
162,Hitler's Master of the Dark Arts,Bill Yenne,C. Peter Chen,1 Oct 2013,2013-10-01 0:00:00
163,Hitler's Rockets: The Story of the V-2s,Norman Longmate,Morgan Bell,19 Jan 2005,2005-01-19 0:00:00
164,Hitler's Rockets: The Story of the V-2s,Norman Longmate,C. Peter Chen,1 Mar 2010,2010-03-01 0:00:00
165,Honor Untarnished,Donald Bennett,C. Peter Chen,1 Jan 2006,2006-01-01 0:00:00
166,Humber Light Reconnaissance Car 1941-45,Richard Doherty,C. Peter Chen,27 Mar 2011,2011-03-27 0:00:00
167,Hunting Eichmann,Neal Bascomb,C. Peter Chen,8 Oct 2010,2010-10-08 0:00:00
168,Hunting Evil,Guy Walters,C. Peter Chen,5 Nov 2014,2014-11-05 0:00:00
169,Imperial Japanese Navy Aces 1937-1945 *,,Craig Burke,Jan 1999,
170,Imperial Japanese Navy Aircraft Carriers 1921... *,,Andrew Nguyen,Jul 2009,
171,Imperial Japanese Navy Battleships 1941-45,Mark Stille,C. Peter Chen,1 Aug 2008,2008-08-01 0:00:00
172,Imperial War Museum: HMS Belfast,N/A,Andrew Nguyen,18 Feb 2010,2010-02-18 0:00:00
173,In Final Defense of the Reich,Stephen M. Rusiecki,Thomas Houlihan,1 Nov 2010,2010-11-01 0:00:00
174,In Harm's Way,Doug Stanton,C. Peter Chen,20 Aug 2005,2005-08-20 0:00:00
175,In the Garden of Beasts,Erik Larson,C. Peter Chen,24 Jul 2012,2012-07-24 0:00:00
176,In the Service of the Reich,Walter GÃ¶rlitz,C. Peter Chen,14 May 2006,2006-05-14 0:00:00
177,In Time Of War: Hitler's Terrorist Attack On America,Pierce O'Donnell,C. Peter Chen,11 Mar 2015,2015-03-11 0:00:00
