,Name,Type,Location,Country
246,Westerbork Concentration Camp ,Prison Camp ,"Hooghalen, Drenthe ",Netherlands 
247,Wheeler Field ,Airfield ,"Honolulu, Oahu ",Hawaii 
248,White House ,Government Building ,Washington ,United States 
249,Xi'an Airfield ,Airfield ,"Xi'an, Shaanxi ",China 
250,Xiangyun Airfield ,Airfield ,"Xiangyun, Yunnan ",China 
251,Xinjin Airfield ,Airfield ,"Chengdu, Sichuan ",China 
252,Yangkai Airfield ,Airfield ,"Yangjiacun, Yunnan ",China 
253,Yokosuka Naval Arsenal ,Shipyard ,"Yokosuka, Kanagawa ",Japan 
254,Yongsan Base ,Army Base ,Keijo ,Korea 
255,Yontan Airfield ,Airfield ,"Yomitan, Okinawa ",Japan 
256,Zhanyi Airfield ,Airfield ,"Zhanyi, Yunnan ",China 
257,Zhijiang Airfield ,Airfield ,"Zhijiang, Hunan ",China 
258,Zossen ,Military Headquarters ,"WÃ¼nsdorf, Mark Brandenburg ",Germany 
259,10 Downing Street ,Government Building ,"London, England ",United Kingdom 
